Year,Country,GDP per capita (constant 2015 US$)
1960,Norway,19209.41499
1961,Norway,20252.96514
1962,Norway,20656.2514
1963,Norway,21276.6122
1964,Norway,22174.35623
1965,Norway,23165.63154
1966,Norway,23851.61258
1967,Norway,25132.66256
1968,Norway,25485.4949
1969,Norway,26417.40818
1970,Norway,26735.83041
1971,Norway,28055.27618
1972,Norway,29325.64879
1973,Norway,30441.27638
1974,Norway,31439.59701
1975,Norway,32814.9157
1976,Norway,34564.0687
1977,Norway,35850.33485
1978,Norway,37095.61385
1979,Norway,38585.98737
1980,Norway,40217.74816
1981,Norway,40720.21481
1982,Norway,40666.40513
1983,Norway,42142.33667
1984,Norway,44567.00468
1985,Norway,46901.3243
1986,Norway,48623.38468
1987,Norway,49244.99283
1988,Norway,48855.8114
1989,Norway,49159.70361
1990,Norway,49937.45576
1991,Norway,51233.03612
1992,Norway,52758.94525
1993,Norway,53938.0213
1994,Norway,56343.01054
1995,Norway,58380.56847
1996,Norway,61005.88004
1997,Norway,63882.4765
1998,Norway,65197.94631
1999,Norway,66094.73545
2000,Norway,67846.59686
2001,Norway,68899.5269
2002,Norway,69472.98368
2003,Norway,69719.31226
2004,Norway,72090.98629
2005,Norway,73524.25492
2006,Norway,74729.7366
2007,Norway,76115.70668
2008,Norway,75535.2118
2009,Norway,73141.30733
2010,Norway,72804.39562
2011,Norway,72660.67541
2012,Norway,73661.67858
2013,Norway,73515.91449
2014,Norway,74180.32387
2015,Norway,74809.9658
2016,Norway,75017.49448
2017,Norway,76247.41164
2018,Norway,76373.64746
2019,Norway,76712.28712
2020,Norway,75287.20595
2021,Norway,77812.71156
2022,Norway,79620.16355
2023,Norway,78775.74952
2024,Norway,79667.52723